16.02.2018 00:18:10:210 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 00:18:10:210 || TFGRTemplate.SetSizeLayer1
16.02.2018 08:23:33:233 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 08:23:33:233 || TFGRTemplate.SetSizeLayer1
16.02.2018 08:27:19:219 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 08:27:19:219 || TFGRTemplate.SetSizeLayer1
16.02.2018 08:30:25:225 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 08:30:25:225 || TFGRTemplate.SetSizeLayer1
16.02.2018 08:34:16:216 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 08:34:16:216 || TFGRTemplate.SetSizeLayer1
16.02.2018 08:36:09:29 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 08:36:09:29 || TFGRTemplate.SetSizeLayer1
16.02.2018 08:48:10:210 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 08:48:10:210 || TFGRTemplate.SetSizeLayer1
16.02.2018 18:30:16:216 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 18:30:16:216 || TFGRTemplate.SetSizeLayer1
16.02.2018 18:37:28:228 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 18:37:28:228 || TFGRTemplate.SetSizeLayer1
16.02.2018 19:09:32:232 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 19:09:32:232 || TFGRTemplate.SetSizeLayer1
16.02.2018 21:34:55:255 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 21:34:55:255 || TFGRTemplate.SetSizeLayer1
16.02.2018 21:37:21:221 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 21:37:21:221 || TFGRTemplate.SetSizeLayer1
16.02.2018 21:43:18:218 || UImageTemplate.SetSizeFrame Aspect=16x9
16.02.2018 21:43:18:218 || TFGRTemplate.SetSizeLayer1
