16.02.2018 00:01:41:241 || Form1.Create Start
16.02.2018 00:01:41:241 || 
16.02.2018 00:01:41:241 || *****************************************************************************************
16.02.2018 00:01:41:241 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
16.02.2018 00:01:41:241 || *************************            Время старта: 00:01:41:08             *************************
16.02.2018 00:01:41:241 || *****************************************************************************************
16.02.2018 00:01:41:241 || UCommon.CreateDirectories
16.02.2018 00:01:41:241 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Clips
16.02.2018 00:01:41:241 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects
16.02.2018 00:01:41:241 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Clips
16.02.2018 00:01:41:241 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Templates
16.02.2018 00:01:41:241 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\PlayLists
16.02.2018 00:01:41:241 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Temp
16.02.2018 00:01:41:241 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Keylayouts
16.02.2018 00:01:41:241 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\\Log
16.02.2018 00:01:41:241 || Начало чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:01:41:241 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:01:41:241 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:01:41:241 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:01:41:241 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:01:41:241 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:01:41:241 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:01:41:241 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:01:41:241 || UMyFiles.ExecTaskOnDelete
16.02.2018 00:01:41:241 || UInitForms.InputInSystem - Вход в систему выполнен
16.02.2018 00:01:41:241 || UInitForms.InputInSystem
16.02.2018 00:01:41:241 || UInitForms.InitMyStartWindow
16.02.2018 00:01:41:241 || UInitForms.InitMyStartWindow - Вход в систему выполнен
16.02.2018 00:01:41:241 || UInitForms.InitMainForm
16.02.2018 00:01:41:241 || UInitForms.InitPanelControl
16.02.2018 00:01:41:241 || UCommon.SetMainGridPanel Start
16.02.2018 00:01:41:241 || UCommon.SetMainGridPanel MainGrid=projects
16.02.2018 00:01:41:241 || UCommon.CheckedClipsInList Start GridClips
16.02.2018 00:01:41:241 || UCommon.CheckedClipsInList Finish GridClips
16.02.2018 00:01:41:241 || UCommon.SetMainGridPanel Finish
16.02.2018 00:01:41:241 || UInitForms.InitPanelClips
16.02.2018 00:01:41:241 || UGrid.initgrid Grid=GridClips Width=1560
16.02.2018 00:01:41:241 || UInitForms.InitPanelPlayList
16.02.2018 00:01:41:241 || UGrid.initgrid Grid=GridActPlayList Width=1560
16.02.2018 00:01:41:241 || UInitForms.InitPanelProject
16.02.2018 00:01:41:241 || UGrid.initgrid Grid=GridLists Width=1560
16.02.2018 00:01:41:241 || UInitForms.InitPanelPrepare
16.02.2018 00:01:41:241 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
16.02.2018 00:01:41:241 || UGrid.initgrid Grid=GridGRTemplate Width=349
16.02.2018 00:01:41:241 || UDrawTimelines.TTLNames.SetDefaultFonts;
16.02.2018 00:01:41:241 || UDrawTimelines.TTLNames.Draw Start
16.02.2018 00:01:41:241 || UDrawTimelines.TZoneScaler.Draw Height=25
16.02.2018 00:01:41:241 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
16.02.2018 00:01:41:241 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
16.02.2018 00:01:41:241 || UDrawTimelines.TNamesTL.Init Result=152
16.02.2018 00:01:41:241 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
16.02.2018 00:01:41:241 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
16.02.2018 00:01:41:241 || UDrawTimelines.TTLNames.Draw Finish
16.02.2018 00:01:41:241 || UInitForms.InitPanelAir
16.02.2018 00:01:41:241 || UInitForms.MyStartWindow - Вход в систему выполнен
16.02.2018 00:01:41:241 || UCommon.loadoldproject Start
16.02.2018 00:01:41:241 || UCommon.initnewproject Start
16.02.2018 00:03:14:214 || Form1.Create Start
16.02.2018 00:03:14:214 || 
16.02.2018 00:03:14:214 || *****************************************************************************************
16.02.2018 00:03:14:214 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
16.02.2018 00:03:14:214 || *************************            Время старта: 00:03:14:15             *************************
16.02.2018 00:03:14:214 || *****************************************************************************************
16.02.2018 00:03:14:214 || UCommon.CreateDirectories
16.02.2018 00:03:14:214 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Clips
16.02.2018 00:03:14:214 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects
16.02.2018 00:03:14:214 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Clips
16.02.2018 00:03:14:214 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Templates
16.02.2018 00:03:14:214 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\PlayLists
16.02.2018 00:03:14:214 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Temp
16.02.2018 00:03:14:214 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Keylayouts
16.02.2018 00:03:14:214 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\\Log
16.02.2018 00:03:14:214 || Начало чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:03:14:214 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:03:14:214 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:03:14:214 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:03:14:214 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:03:14:214 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:03:14:214 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:03:14:214 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:03:14:214 || UMyFiles.ExecTaskOnDelete
16.02.2018 00:03:14:214 || UInitForms.InputInSystem - Вход в систему выполнен
16.02.2018 00:03:14:214 || UInitForms.InputInSystem
16.02.2018 00:03:14:214 || UInitForms.InitMyStartWindow
16.02.2018 00:03:14:214 || UInitForms.InitMyStartWindow - Вход в систему выполнен
16.02.2018 00:03:14:214 || UInitForms.InitMainForm
16.02.2018 00:03:14:214 || UInitForms.InitPanelControl
16.02.2018 00:03:14:214 || UCommon.SetMainGridPanel Start
16.02.2018 00:03:14:214 || UCommon.SetMainGridPanel MainGrid=projects
16.02.2018 00:03:14:214 || UCommon.CheckedClipsInList Start GridClips
16.02.2018 00:03:14:214 || UCommon.CheckedClipsInList Finish GridClips
16.02.2018 00:03:14:214 || UCommon.SetMainGridPanel Finish
16.02.2018 00:03:14:214 || UInitForms.InitPanelClips
16.02.2018 00:03:14:214 || UGrid.initgrid Grid=GridClips Width=1560
16.02.2018 00:03:14:214 || UInitForms.InitPanelPlayList
16.02.2018 00:03:14:214 || UGrid.initgrid Grid=GridActPlayList Width=1560
16.02.2018 00:03:14:214 || UInitForms.InitPanelProject
16.02.2018 00:03:14:214 || UGrid.initgrid Grid=GridLists Width=1560
16.02.2018 00:03:14:214 || UInitForms.InitPanelPrepare
16.02.2018 00:03:14:214 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
16.02.2018 00:03:14:214 || UGrid.initgrid Grid=GridGRTemplate Width=349
16.02.2018 00:03:14:214 || UDrawTimelines.TTLNames.SetDefaultFonts;
16.02.2018 00:03:14:214 || UDrawTimelines.TTLNames.Draw Start
16.02.2018 00:03:14:214 || UDrawTimelines.TZoneScaler.Draw Height=25
16.02.2018 00:03:14:214 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
16.02.2018 00:03:14:214 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
16.02.2018 00:03:14:214 || UDrawTimelines.TNamesTL.Init Result=152
16.02.2018 00:03:14:214 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
16.02.2018 00:03:14:214 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
16.02.2018 00:03:14:214 || UDrawTimelines.TTLNames.Draw Finish
16.02.2018 00:03:14:214 || UInitForms.InitPanelAir
16.02.2018 00:03:14:214 || UInitForms.MyStartWindow - Вход в систему выполнен
16.02.2018 00:03:14:214 || UCommon.loadoldproject Start
16.02.2018 00:03:14:214 || UCommon.initnewproject Start
16.02.2018 00:04:20:220 || Form1.Create Start
16.02.2018 00:04:20:220 || 
16.02.2018 00:04:20:220 || *****************************************************************************************
16.02.2018 00:04:20:220 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
16.02.2018 00:04:20:220 || *************************            Время старта: 00:04:20:05             *************************
16.02.2018 00:04:20:220 || *****************************************************************************************
16.02.2018 00:04:20:220 || UCommon.CreateDirectories
16.02.2018 00:04:20:220 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Clips
16.02.2018 00:04:20:220 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects
16.02.2018 00:04:20:220 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Clips
16.02.2018 00:04:20:220 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Templates
16.02.2018 00:04:20:220 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\PlayLists
16.02.2018 00:04:20:220 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Temp
16.02.2018 00:04:20:220 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Keylayouts
16.02.2018 00:04:20:220 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\\Log
16.02.2018 00:04:20:220 || Начало чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:04:20:220 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:04:20:220 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:04:20:220 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:04:20:220 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:04:20:220 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:04:20:220 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:04:20:220 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:04:20:220 || UMyFiles.ExecTaskOnDelete
16.02.2018 00:04:20:220 || UInitForms.InputInSystem - Вход в систему выполнен
16.02.2018 00:04:20:220 || UInitForms.InputInSystem
16.02.2018 00:04:20:220 || UInitForms.InitMyStartWindow
16.02.2018 00:04:20:220 || UInitForms.InitMyStartWindow - Вход в систему выполнен
16.02.2018 00:04:20:220 || UInitForms.InitMainForm
16.02.2018 00:04:20:220 || UInitForms.InitPanelControl
16.02.2018 00:04:20:220 || UCommon.SetMainGridPanel Start
16.02.2018 00:04:20:220 || UCommon.SetMainGridPanel MainGrid=projects
16.02.2018 00:04:20:220 || UCommon.CheckedClipsInList Start GridClips
16.02.2018 00:04:20:220 || UCommon.CheckedClipsInList Finish GridClips
16.02.2018 00:04:20:220 || UCommon.SetMainGridPanel Finish
16.02.2018 00:04:20:220 || UInitForms.InitPanelClips
16.02.2018 00:04:20:220 || UGrid.initgrid Grid=GridClips Width=1560
16.02.2018 00:04:20:220 || UInitForms.InitPanelPlayList
16.02.2018 00:04:20:220 || UGrid.initgrid Grid=GridActPlayList Width=1560
16.02.2018 00:04:20:220 || UInitForms.InitPanelProject
16.02.2018 00:04:20:220 || UGrid.initgrid Grid=GridLists Width=1560
16.02.2018 00:04:20:220 || UInitForms.InitPanelPrepare
16.02.2018 00:04:20:220 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
16.02.2018 00:04:20:220 || UGrid.initgrid Grid=GridGRTemplate Width=349
16.02.2018 00:04:20:220 || UDrawTimelines.TTLNames.SetDefaultFonts;
16.02.2018 00:04:20:220 || UDrawTimelines.TTLNames.Draw Start
16.02.2018 00:04:20:220 || UDrawTimelines.TZoneScaler.Draw Height=25
16.02.2018 00:04:20:220 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
16.02.2018 00:04:20:220 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
16.02.2018 00:04:20:220 || UDrawTimelines.TNamesTL.Init Result=152
16.02.2018 00:04:20:220 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
16.02.2018 00:04:20:220 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
16.02.2018 00:04:20:220 || UDrawTimelines.TTLNames.Draw Finish
16.02.2018 00:04:20:220 || UInitForms.InitPanelAir
16.02.2018 00:04:20:220 || UInitForms.MyStartWindow - Вход в систему выполнен
16.02.2018 00:04:20:220 || UCommon.loadoldproject Start
16.02.2018 00:04:20:220 || UCommon.initnewproject Start
16.02.2018 00:05:17:217 || Form1.Create Start
16.02.2018 00:05:17:217 || 
16.02.2018 00:05:17:217 || *****************************************************************************************
16.02.2018 00:05:17:217 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
16.02.2018 00:05:17:217 || *************************            Время старта: 00:05:17:06             *************************
16.02.2018 00:05:17:217 || *****************************************************************************************
16.02.2018 00:05:17:217 || UCommon.CreateDirectories
16.02.2018 00:05:17:217 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Clips
16.02.2018 00:05:17:217 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects
16.02.2018 00:05:17:217 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Clips
16.02.2018 00:05:17:217 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Templates
16.02.2018 00:05:17:217 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\PlayLists
16.02.2018 00:05:17:217 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Temp
16.02.2018 00:05:17:217 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Keylayouts
16.02.2018 00:05:17:217 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\\Log
16.02.2018 00:05:17:217 || Начало чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:05:17:217 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:05:17:217 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:05:17:217 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:05:17:217 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:05:17:217 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:05:17:217 || UGrid.TGridRows.SetDefaultFonts
