20.02.2018 16:52:25:225 || Form1.Create Start
20.02.2018 17:00:35:235 || Form1.Create Start
20.02.2018 17:00:35:235 || 
20.02.2018 17:00:35:235 || *****************************************************************************************
20.02.2018 17:00:35:235 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 17:00:35:235 || *************************            Âðåìÿ ñòàðòà: 17:00:35:05             *************************
20.02.2018 17:00:35:235 || *****************************************************************************************
20.02.2018 17:00:35:235 || Form1.Create Finish
20.02.2018 17:00:40:240 || Message:WMSysCommand
20.02.2018 17:00:54:254 || Form1.Create Start
20.02.2018 17:00:54:254 || 
20.02.2018 17:00:54:254 || *****************************************************************************************
20.02.2018 17:00:54:254 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 17:00:54:254 || *************************            Âðåìÿ ñòàðòà: 17:00:54:19             *************************
20.02.2018 17:00:54:254 || *****************************************************************************************
20.02.2018 17:00:54:254 || Form1.Create Finish
20.02.2018 17:00:58:258 || Message:WMSysCommand
20.02.2018 17:01:20:220 || Form1.Create Start
20.02.2018 17:01:20:220 || 
20.02.2018 17:01:20:220 || *****************************************************************************************
20.02.2018 17:01:20:220 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 17:01:20:220 || *************************            Âðåìÿ ñòàðòà: 17:01:20:08             *************************
20.02.2018 17:01:20:220 || *****************************************************************************************
20.02.2018 17:01:20:220 || Form1.Create Finish
20.02.2018 17:01:23:223 || Message:WMSysCommand
20.02.2018 17:02:15:215 || Form1.Create Start
20.02.2018 17:02:15:215 || 
20.02.2018 17:02:15:215 || *****************************************************************************************
20.02.2018 17:02:15:215 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 17:02:15:215 || *************************            Âðåìÿ ñòàðòà: 17:02:15:10             *************************
20.02.2018 17:02:15:215 || *****************************************************************************************
20.02.2018 17:02:15:215 || Form1.Create Finish
20.02.2018 17:02:20:220 || Message:WMSysCommand
20.02.2018 18:04:46:246 || Form1.Create Start
20.02.2018 18:04:46:246 || 
20.02.2018 18:04:46:246 || *****************************************************************************************
20.02.2018 18:04:46:246 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
