20.02.2018 12:34:23:223 || Form1.Create Start
20.02.2018 12:34:23:223 || 
20.02.2018 12:34:23:223 || *****************************************************************************************
20.02.2018 12:34:23:223 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:34:23:223 || *************************            Время старта: 12:34:23:21             *************************
20.02.2018 12:34:23:223 || *****************************************************************************************
20.02.2018 12:34:23:223 || UCommon.CreateDirectories
20.02.2018 12:34:23:223 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:34:23:223 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:34:23:223 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:34:23:223 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:34:23:223 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:34:23:223 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:34:23:223 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:34:23:223 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:34:23:223 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:35:33:233 || Form1.Create Start
20.02.2018 12:35:33:233 || 
20.02.2018 12:35:33:233 || *****************************************************************************************
20.02.2018 12:35:33:233 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:35:33:233 || *************************            Время старта: 12:35:33:14             *************************
20.02.2018 12:35:33:233 || *****************************************************************************************
20.02.2018 12:35:33:233 || UCommon.CreateDirectories
20.02.2018 12:35:33:233 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:35:33:233 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:35:33:233 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:35:33:233 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:35:33:233 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:35:33:233 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:35:33:233 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:35:33:233 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:35:33:233 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:36:33:233 || Form1.Create Start
20.02.2018 12:36:33:233 || 
20.02.2018 12:36:33:233 || *****************************************************************************************
20.02.2018 12:36:33:233 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:36:33:233 || *************************            Время старта: 12:36:33:04             *************************
20.02.2018 12:36:33:233 || *****************************************************************************************
20.02.2018 12:36:33:233 || UCommon.CreateDirectories
20.02.2018 12:36:33:233 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:36:33:233 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:36:33:233 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:36:33:233 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:36:33:233 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:36:33:233 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:36:33:233 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:36:33:233 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:36:33:233 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:37:51:251 || Form1.Create Start
20.02.2018 12:37:51:251 || 
20.02.2018 12:37:51:251 || *****************************************************************************************
20.02.2018 12:37:51:251 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:37:51:251 || *************************            Время старта: 12:37:51:13             *************************
20.02.2018 12:37:51:251 || *****************************************************************************************
20.02.2018 12:37:51:251 || UCommon.CreateDirectories
20.02.2018 12:37:51:251 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:37:51:251 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:37:51:251 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:37:51:251 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:37:51:251 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:37:51:251 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:37:51:251 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:37:51:251 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:37:51:251 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:39:07:27 || Form1.Create Start
20.02.2018 12:39:07:27 || 
20.02.2018 12:39:07:27 || *****************************************************************************************
20.02.2018 12:39:07:27 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:39:07:27 || *************************            Время старта: 12:39:07:13             *************************
20.02.2018 12:39:07:27 || *****************************************************************************************
20.02.2018 12:39:07:27 || UCommon.CreateDirectories
20.02.2018 12:39:07:27 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:39:07:27 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:39:07:27 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:39:07:27 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:39:07:27 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:39:07:27 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:39:07:27 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:39:07:27 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:39:07:27 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:39:54:254 || Form1.Create Start
20.02.2018 12:39:54:254 || 
20.02.2018 12:39:54:254 || *****************************************************************************************
20.02.2018 12:39:54:254 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:39:54:254 || *************************            Время старта: 12:39:54:04             *************************
20.02.2018 12:39:54:254 || *****************************************************************************************
20.02.2018 12:39:54:254 || UCommon.CreateDirectories
20.02.2018 12:39:54:254 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:39:54:254 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:39:54:254 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:39:54:254 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:39:54:254 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:39:54:254 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:39:54:254 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:39:54:254 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:39:54:254 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:42:17:217 || Form1.Create Start
20.02.2018 12:42:17:217 || 
20.02.2018 12:42:17:217 || *****************************************************************************************
20.02.2018 12:42:17:217 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:42:17:217 || *************************            Время старта: 12:42:17:15             *************************
20.02.2018 12:42:17:217 || *****************************************************************************************
20.02.2018 12:42:17:217 || UCommon.CreateDirectories
20.02.2018 12:42:17:217 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:42:17:217 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:42:17:217 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:42:17:217 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:42:17:217 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
