10.02.2018 12:06:40:240 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:06:40:240 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:10:09:29 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:10:09:29 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:11:19:219 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:11:19:219 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:13:19:219 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:13:19:219 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:17:22:222 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:17:22:222 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:18:25:225 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:18:25:225 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:21:51:251 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:21:51:251 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:35:02:22 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:35:02:22 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:38:10:210 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:38:10:210 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:42:46:246 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:42:46:246 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:43:18:218 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:43:18:218 || TFGRTemplate.SetSizeLayer1
10.02.2018 12:45:24:224 || UImageTemplate.SetSizeFrame Aspect=16x9
10.02.2018 12:45:24:224 || TFGRTemplate.SetSizeLayer1
