19.02.2018 11:19:33:233 || Form1.Create Start
19.02.2018 11:19:33:233 || 
19.02.2018 11:19:33:233 || *****************************************************************************************
19.02.2018 11:19:33:233 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
19.02.2018 11:19:33:233 || *************************            Время старта: 11:19:33:19             *************************
19.02.2018 11:19:33:233 || *****************************************************************************************
19.02.2018 11:19:33:233 || UCommon.CreateDirectories
19.02.2018 11:19:33:233 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\1602\Clips
19.02.2018 11:19:33:233 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\1602\Projects
19.02.2018 11:19:33:233 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\1602\Projects\Clips
19.02.2018 11:19:33:233 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\1602\Projects\Templates
19.02.2018 11:19:33:233 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\1602\Projects\PlayLists
19.02.2018 11:19:33:233 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\1602\Projects\Temp
19.02.2018 11:19:33:233 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\1602\Projects\Keylayouts
19.02.2018 11:19:33:233 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\1602\\Log
19.02.2018 11:19:33:233 || Начало чтения IniFile: G:\home\ARM_editor\1602\ARM_Director.ini
19.02.2018 11:19:33:233 || UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:33:233 || UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:33:233 || UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:33:233 || UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:33:233 || UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:33:233 || UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:33:233 || Окончание чтения IniFile: G:\home\ARM_editor\1602\ARM_Director.ini
19.02.2018 11:19:33:233 || UMyFiles.ExecTaskOnDelete
19.02.2018 11:19:33:233 || UInitForms.InputInSystem - Вход в систему выполнен
19.02.2018 11:19:33:233 || UInitForms.InputInSystem
19.02.2018 11:19:33:233 || UInitForms.InitMyStartWindow
19.02.2018 11:19:33:233 || UInitForms.InitMyStartWindow - Вход в систему выполнен
19.02.2018 11:19:33:233 || UInitForms.InitMainForm
19.02.2018 11:19:33:233 || UInitForms.InitPanelControl
19.02.2018 11:19:33:233 || UCommon.SetMainGridPanel Start
19.02.2018 11:19:33:233 || UCommon.SetMainGridPanel MainGrid=projects
19.02.2018 11:19:33:233 || UCommon.CheckedClipsInList Start GridClips
19.02.2018 11:19:33:233 || UCommon.CheckedClipsInList Finish GridClips
19.02.2018 11:19:33:233 || UCommon.SetMainGridPanel Finish
19.02.2018 11:19:33:233 || UInitForms.InitPanelClips
19.02.2018 11:19:33:233 || UGrid.initgrid Grid=GridClips Width=1560
19.02.2018 11:19:33:233 || UInitForms.InitPanelPlayList
19.02.2018 11:19:33:233 || UGrid.initgrid Grid=GridActPlayList Width=1560
19.02.2018 11:19:33:233 || UInitForms.InitPanelProject
19.02.2018 11:19:33:233 || UGrid.initgrid Grid=GridLists Width=1560
19.02.2018 11:19:33:233 || UInitForms.InitPanelPrepare
19.02.2018 11:19:33:233 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
19.02.2018 11:19:33:233 || UGrid.initgrid Grid=GridGRTemplate Width=349
19.02.2018 11:19:33:233 || UDrawTimelines.TTLNames.SetDefaultFonts;
19.02.2018 11:19:33:233 || UDrawTimelines.TTLNames.Draw Start
19.02.2018 11:19:33:233 || UDrawTimelines.TZoneScaler.Draw Height=25
19.02.2018 11:19:33:233 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
19.02.2018 11:19:33:233 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
19.02.2018 11:19:33:233 || UDrawTimelines.TNamesTL.Init Result=152
19.02.2018 11:19:33:233 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
19.02.2018 11:19:33:233 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
19.02.2018 11:19:33:233 || UDrawTimelines.TTLNames.Draw Finish
19.02.2018 11:19:33:233 || UInitForms.InitPanelAir
19.02.2018 11:19:33:233 || UInitForms.MyStartWindow - Вход в систему выполнен
19.02.2018 11:19:33:233 || UCommon.loadoldproject Start
19.02.2018 11:19:33:233 || UCommon.initnewproject Start
19.02.2018 11:19:33:233 || UInitForms.InitPanelPrepare
19.02.2018 11:19:33:233 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
19.02.2018 11:19:33:233 || UGrid.initgrid Grid=GridGRTemplate Width=349
19.02.2018 11:19:33:233 || UDrawTimelines.TTLNames.SetDefaultFonts;
