17.02.2018 11:03:22:222 || vlcCreate
17.02.2018 11:03:22:222 || vlcInit
17.02.2018 12:15:50:250 || vlcCreate
17.02.2018 12:15:50:250 || vlcInit
17.02.2018 12:16:05:25 |2018217121558355| Load
17.02.2018 12:16:18:218 |2018217121558355| Load
17.02.2018 12:16:18:218 |2018217121558355| stat Stopped
17.02.2018 12:16:19:219 |2018217121558355| SetTime
17.02.2018 12:16:20:220 |2018217121558355| vlcPlay
17.02.2018 12:16:20:220 |2018217121558355| vlcWaitForState
17.02.2018 12:16:20:220 |2018217121558355| stat Playing
17.02.2018 12:16:25:225 |2018217121558355| vlcPause
17.02.2018 12:16:25:225 |2018217121558355| vlcWaitForState
17.02.2018 12:16:25:225 |2018217121558355| stat Paused
17.02.2018 12:16:25:225 |2018217121558355| vlcPause
17.02.2018 12:16:31:231 |2018217121558355| Load
17.02.2018 12:16:31:231 |2018217121558355| stat Stopped
17.02.2018 12:16:39:239 |2018217121558355| SetTime
17.02.2018 12:16:46:246 |2018217121558355| Load
17.02.2018 12:16:47:247 |2018217121558355| stat Stopped
17.02.2018 12:16:47:247 |2018217121558355| SetTime
17.02.2018 12:16:49:249 |2018217121558355| vlcPlay
17.02.2018 12:16:49:249 |2018217121558355| vlcWaitForState
17.02.2018 12:16:50:250 |2018217121558355| vlcPause
17.02.2018 12:16:50:250 |2018217121558355| vlcWaitForState
17.02.2018 12:16:50:250 |2018217121558355| stat Paused
17.02.2018 12:16:50:250 |2018217121558355| vlcPause
17.02.2018 12:16:51:251 |2018217121558355| SetTime
17.02.2018 12:17:11:211 |2018217121558355| Stop
17.02.2018 12:17:11:211 |2018217121558355| stat Stopped
17.02.2018 12:17:12:212 |2018217121558355| Release
17.02.2018 12:17:12:212 |2018217121558355| Stop
17.02.2018 12:17:21:221 || vlcCreate
17.02.2018 12:17:21:221 || vlcInit
17.02.2018 12:17:31:231 |2018217121558355| Load
17.02.2018 12:17:33:233 |2018217121558355| SetTime
17.02.2018 12:17:33:233 |2018217121558355| vlcPlay
17.02.2018 12:17:33:233 |2018217121558355| vlcWaitForState
17.02.2018 12:17:33:233 |2018217121558355| stat Playing
17.02.2018 12:18:04:24 |2018217121558355| Load
17.02.2018 12:18:04:24 |2018217121558355| stat Stopped
17.02.2018 12:18:08:28 |2018217121558355| Load
17.02.2018 12:18:08:28 |2018217121558355| stat Stopped
17.02.2018 12:18:09:29 |2018217121558355| SetTime
17.02.2018 12:18:11:211 |2018217121558355| vlcPlay
17.02.2018 12:18:11:211 |2018217121558355| vlcWaitForState
17.02.2018 12:18:11:211 |2018217121558355| stat Playing
17.02.2018 12:18:56:256 |201822133847263| vlcPause
17.02.2018 12:18:56:256 |201822133847263| vlcWaitForState
17.02.2018 12:18:57:257 |201822133847263| stat Paused
17.02.2018 12:19:03:23 |201822133847263| Load
17.02.2018 12:19:03:23 |201822133847263| stat Stopped
17.02.2018 12:19:24:224 || vlcCreate
17.02.2018 12:19:24:224 || vlcInit
17.02.2018 12:20:16:216 |2018217121558355| Load
17.02.2018 12:20:21:221 |2018217121558355| Load
17.02.2018 12:20:21:221 |2018217121558355| stat Stopped
17.02.2018 12:20:22:222 |2018217121558355| SetTime
17.02.2018 12:20:23:223 |2018217121558355| vlcPlay
17.02.2018 12:20:23:223 |2018217121558355| stat Playing
17.02.2018 12:20:23:223 |2018217121558355| vlcWaitForState
17.02.2018 12:20:33:233 |2018217121558355| vlcPause
17.02.2018 12:20:33:233 |2018217121558355| stat Paused
17.02.2018 12:20:33:233 |2018217121558355| vlcWaitForState
17.02.2018 12:20:33:233 |2018217121558355| Stop
17.02.2018 12:20:33:233 |2018217121558355| stat Stopped
17.02.2018 12:20:33:233 |2018217121558355| Release
17.02.2018 12:20:33:233 |2018217121558355| Stop
