11.06.2017 15:33:13:613 || Message:WM_GETMINMAXINFO | Access violation at address 006DD1AF in module 'ARM_Director.exe'. Read of address 00000000
11.06.2017 15:33:25:625 || Message:WM_GETMINMAXINFO | Access violation at address 006DD1AF in module 'ARM_Director.exe'. Read of address 00000000
11.06.2017 15:33:26:626 || Message:WM_GETMINMAXINFO | Access violation at address 006DD1AF in module 'ARM_Director.exe'. Read of address 00000000
11.06.2017 15:33:29:629 || Message:WM_GETMINMAXINFO | Access violation at address 006DD1AF in module 'ARM_Director.exe'. Read of address 00000000
11.06.2017 15:33:29:629 || Message:WM_GETMINMAXINFO
11.06.2017 15:33:29:629 || Message:WM_GETMINMAXINFO
11.06.2017 15:33:29:629 || Message:WM_GETMINMAXINFO
11.06.2017 15:33:29:629 || Form1.Create Start
11.06.2017 15:33:29:629 || 
11.06.2017 15:33:29:629 || *****************************************************************************************
11.06.2017 15:33:29:629 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
11.06.2017 15:33:29:629 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 15:33:29:23             *************************
11.06.2017 15:33:29:629 || *****************************************************************************************
11.06.2017 15:33:29:629 || UCommon.CreateDirectories NewProject=
11.06.2017 15:33:29:629 || UCommon.CreateDirectories PathFiles=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Clips
11.06.2017 15:33:29:629 || UCommon.CreateDirectories DirProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects
11.06.2017 15:33:29:629 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
11.06.2017 15:33:29:629 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
11.06.2017 15:33:29:629 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:29:629 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:29:629 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:29:629 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:29:629 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:29:629 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:29:629 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
11.06.2017 15:33:29:629 || UMyFiles.ExecTaskOnDelete
11.06.2017 15:33:29:629 || UInitForms.InputInSystem
11.06.2017 15:33:29:629 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
11.06.2017 15:33:30:630 || UInitForms.InitMainForm
11.06.2017 15:33:30:630 || UInitForms.InitPanelControl
11.06.2017 15:33:30:630 || UCommon.SetMainGridPanel Start
11.06.2017 15:33:30:630 || UCommon.SetMainGridPanel MainGrid=projects
11.06.2017 15:33:30:630 || UCommon.CheckedClipsInList Start Grid=GridClips
11.06.2017 15:33:30:630 || UCommon.CheckedClipsInList Finish Grid=GridClips
11.06.2017 15:33:30:630 || UCommon.SetMainGridPanel Finish
11.06.2017 15:33:30:630 || UInitForms.InitPanelClips
11.06.2017 15:33:30:630 || UGrid.initgrid Grid=GridClips Width=1560
11.06.2017 15:33:30:630 || UInitForms.InitPanelPlayList
11.06.2017 15:33:30:630 || UGrid.initgrid Grid=GridActPlayList Width=1560
11.06.2017 15:33:30:630 || UInitForms.InitPanelProject
11.06.2017 15:33:30:630 || UGrid.initgrid Grid=GridProjects Width=1560
11.06.2017 15:33:30:630 || UGrid.initgrid Grid=GridLists Width=1560
11.06.2017 15:33:30:630 || UInitForms.InitPanelPrepare
11.06.2017 15:33:30:630 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
11.06.2017 15:33:30:630 || UGrid.initgrid Grid=GridGRTemplate Width=446
11.06.2017 15:33:30:630 || UDrawTimelines.TTLNames.SetDefaultFonts;
11.06.2017 15:33:30:630 || UDrawTimelines.TTLNames.Draw Start
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneScaler.Draw Height=25
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
11.06.2017 15:33:30:630 || UDrawTimelines.TNamesTL.Init Result=152
11.06.2017 15:33:30:630 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
11.06.2017 15:33:30:630 || UDrawTimelines.TTLNames.Draw Finish
11.06.2017 15:33:30:630 || UInitForms.InitPanelAir
11.06.2017 15:33:30:630 || UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\ListProjects.prjt Grid=GridProjects
11.06.2017 15:33:30:630 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 || UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 || UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\ListProjects.prjt Grid=GridProjects
11.06.2017 15:33:30:630 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
11.06.2017 15:33:30:630 || UCommon.loadoldproject Start
11.06.2017 15:33:30:630 || UCommon.initnewproject Start
11.06.2017 15:33:30:630 || UInitForms.InitPanelPrepare
11.06.2017 15:33:30:630 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
11.06.2017 15:33:30:630 || UGrid.initgrid Grid=GridGRTemplate Width=446
11.06.2017 15:33:30:630 || UDrawTimelines.TTLNames.SetDefaultFonts;
11.06.2017 15:33:30:630 || UDrawTimelines.TTLNames.Draw Start
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneScaler.Draw Height=25
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
11.06.2017 15:33:30:630 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
11.06.2017 15:33:30:630 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
11.06.2017 15:33:30:630 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
11.06.2017 15:33:30:630 || UDrawTimelines.TNamesTL.Init Result=113
11.06.2017 15:33:30:630 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
11.06.2017 15:33:30:630 || UDrawTimelines.TTimeLineName.Draw Position=0
11.06.2017 15:33:30:630 || UDrawTimelines.TTimeLineName.Draw Position=1
11.06.2017 15:33:30:630 || UDrawTimelines.TTimeLineName.Draw Position=2
11.06.2017 15:33:30:630 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
11.06.2017 15:33:30:630 || UDrawTimelines.TTLNames.Draw Finish
11.06.2017 15:33:30:630 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
11.06.2017 15:33:30:630 || UGrid.GridClear Row=1
11.06.2017 15:33:30:630 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
11.06.2017 15:33:30:630 || UGrid.GridClear Row=1
11.06.2017 15:33:30:630 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
11.06.2017 15:33:30:630 || UGrid.GridClear Row=1
11.06.2017 15:33:30:630 || UCommon.initnewproject Finish
11.06.2017 15:33:30:630 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
11.06.2017 15:33:30:630 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadProjectFromDisk Start
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CreateDirectories NewProject=2017522182734909
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CreateDirectories PathFiles=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Clips
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CreateDirectories DirProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CreateDirectories PathProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CreateDirectories PathLists=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Lists
