27.06.2017 23:02:17:617 || Message:WM_GETMINMAXINFO
27.06.2017 23:02:17:617 || Message:WM_GETMINMAXINFO
27.06.2017 23:02:17:617 || Message:WM_GETMINMAXINFO
27.06.2017 23:02:17:617 || Message:WM_GETMINMAXINFO
27.06.2017 23:02:17:617 || Message:WM_GETMINMAXINFO
27.06.2017 23:02:17:617 || Message:WM_GETMINMAXINFO
27.06.2017 23:02:17:617 || Form1.Create Start
27.06.2017 23:02:17:617 || 
27.06.2017 23:02:17:617 || *****************************************************************************************
27.06.2017 23:02:17:617 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
27.06.2017 23:02:17:617 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 23:02:17:10             *************************
27.06.2017 23:02:17:617 || *****************************************************************************************
27.06.2017 23:02:17:617 || UCommon.CreateDirectories NewProject=
27.06.2017 23:02:17:617 || UCommon.CreateDirectories PathFiles=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Clips
27.06.2017 23:02:17:617 || UCommon.CreateDirectories DirProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects
27.06.2017 23:02:17:617 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
27.06.2017 23:02:17:617 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
27.06.2017 23:02:17:617 || UMyFiles.ExecTaskOnDelete
27.06.2017 23:02:17:617 || UInitForms.InputInSystem
27.06.2017 23:02:17:617 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
27.06.2017 23:02:17:617 || UInitForms.InitMainForm
27.06.2017 23:02:17:617 || UInitForms.InitPanelControl
27.06.2017 23:02:17:617 || UCommon.SetMainGridPanel Start
27.06.2017 23:02:17:617 || UCommon.SetMainGridPanel MainGrid=projects
27.06.2017 23:02:17:617 || UCommon.CheckedClipsInList Start Grid=GridClips
27.06.2017 23:02:17:617 || UCommon.CheckedClipsInList Finish Grid=GridClips
27.06.2017 23:02:17:617 || UCommon.SetMainGridPanel Finish
27.06.2017 23:02:17:617 || UInitForms.InitPanelClips
27.06.2017 23:02:17:617 || UGrid.initgrid Grid=GridClips Width=1560
27.06.2017 23:02:17:617 || UInitForms.InitPanelPlayList
27.06.2017 23:02:17:617 || UGrid.initgrid Grid=GridActPlayList Width=1560
27.06.2017 23:02:17:617 || UInitForms.InitPanelProject
27.06.2017 23:02:17:617 || UGrid.initgrid Grid=GridProjects Width=1560
27.06.2017 23:02:17:617 || UGrid.initgrid Grid=GridLists Width=1560
27.06.2017 23:02:17:617 || UInitForms.InitPanelPrepare
27.06.2017 23:02:17:617 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
27.06.2017 23:02:17:617 || UGrid.initgrid Grid=GridGRTemplate Width=446
27.06.2017 23:02:17:617 || UDrawTimelines.TTLNames.SetDefaultFonts;
27.06.2017 23:02:17:617 || UDrawTimelines.TTLNames.Draw Start
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneScaler.Draw Height=25
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
27.06.2017 23:02:17:617 || UDrawTimelines.TNamesTL.Init Result=152
27.06.2017 23:02:17:617 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
27.06.2017 23:02:17:617 || UDrawTimelines.TTLNames.Draw Finish
27.06.2017 23:02:17:617 || UInitForms.InitPanelAir
27.06.2017 23:02:17:617 || UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\ListProjects.prjt Grid=GridProjects
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 || UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\ListProjects.prjt Grid=GridProjects
27.06.2017 23:02:17:617 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
27.06.2017 23:02:17:617 || UCommon.loadoldproject Start
27.06.2017 23:02:17:617 || UCommon.initnewproject Start
27.06.2017 23:02:17:617 || UInitForms.InitPanelPrepare
27.06.2017 23:02:17:617 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
27.06.2017 23:02:17:617 || UGrid.initgrid Grid=GridGRTemplate Width=446
27.06.2017 23:02:17:617 || UDrawTimelines.TTLNames.SetDefaultFonts;
27.06.2017 23:02:17:617 || UDrawTimelines.TTLNames.Draw Start
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneScaler.Draw Height=25
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
27.06.2017 23:02:17:617 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
27.06.2017 23:02:17:617 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
27.06.2017 23:02:17:617 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
27.06.2017 23:02:17:617 || UDrawTimelines.TNamesTL.Init Result=113
27.06.2017 23:02:17:617 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
27.06.2017 23:02:17:617 || UDrawTimelines.TTimeLineName.Draw Position=0
27.06.2017 23:02:17:617 || UDrawTimelines.TTimeLineName.Draw Position=1
27.06.2017 23:02:17:617 || UDrawTimelines.TTimeLineName.Draw Position=2
27.06.2017 23:02:17:617 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
27.06.2017 23:02:17:617 || UDrawTimelines.TTLNames.Draw Finish
27.06.2017 23:02:17:617 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
27.06.2017 23:02:17:617 || UGrid.GridClear Row=1
27.06.2017 23:02:17:617 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
27.06.2017 23:02:17:617 || UGrid.GridClear Row=1
27.06.2017 23:02:17:617 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
27.06.2017 23:02:17:617 || UGrid.GridClear Row=1
27.06.2017 23:02:17:617 || UCommon.initnewproject Finish
27.06.2017 23:02:17:617 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
27.06.2017 23:02:17:617 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.LoadProjectFromDisk Start
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories NewProject=2017522182734909
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathFiles=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Clips
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories DirProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathLists=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Lists
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathClips=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Clips
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathTemplates=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Templates
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathPlayLists=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\PlayLists
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathTemp=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp
27.06.2017 23:02:17:617 |2017522182734909| UCommon.CreateDirectories PathLog=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\\Log
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.DeleteFilesMask Dir=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909 Mask=*.*
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.LoadProjectFromDisk Finish
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
27.06.2017 23:02:17:617 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
27.06.2017 23:02:17:617 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
27.06.2017 23:02:17:617 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:02:17:617 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
