21.01.2018 18:01:12:112 || Form1.Create Start
21.01.2018 18:01:12:112 || 
21.01.2018 18:01:12:112 || *****************************************************************************************
21.01.2018 18:01:12:112 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
21.01.2018 18:01:12:112 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 18:01:12:01             *************************
21.01.2018 18:01:12:112 || *****************************************************************************************
21.01.2018 18:01:12:112 || UCommon.CreateDirectories NewProject=
21.01.2018 18:01:12:112 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Clips
21.01.2018 18:01:12:112 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects
21.01.2018 18:01:12:112 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
21.01.2018 18:01:12:112 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\ARM_Director.ini
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\ARM_Director.ini
21.01.2018 18:01:12:112 || UMyFiles.ExecTaskOnDelete
21.01.2018 18:01:12:112 || UInitForms.InputInSystem
21.01.2018 18:01:12:112 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
21.01.2018 18:01:12:112 || UInitForms.InitMainForm
21.01.2018 18:01:12:112 || UInitForms.InitPanelControl
21.01.2018 18:01:12:112 || UCommon.SetMainGridPanel Start
21.01.2018 18:01:12:112 || UCommon.SetMainGridPanel MainGrid=projects
21.01.2018 18:01:12:112 || UCommon.CheckedClipsInList Start Grid=GridClips
21.01.2018 18:01:12:112 || UCommon.CheckedClipsInList Finish Grid=GridClips
21.01.2018 18:01:12:112 || UCommon.SetMainGridPanel Finish
21.01.2018 18:01:12:112 || UInitForms.InitPanelClips
21.01.2018 18:01:12:112 || UGrid.initgrid Grid=GridClips Width=1560
21.01.2018 18:01:12:112 || UInitForms.InitPanelPlayList
21.01.2018 18:01:12:112 || UGrid.initgrid Grid=GridActPlayList Width=1560
21.01.2018 18:01:12:112 || UInitForms.InitPanelProject
21.01.2018 18:01:12:112 || UGrid.initgrid Grid=GridProjects Width=1560
21.01.2018 18:01:12:112 || UGrid.initgrid Grid=GridLists Width=1560
21.01.2018 18:01:12:112 || UInitForms.InitPanelPrepare
21.01.2018 18:01:12:112 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
21.01.2018 18:01:12:112 || UGrid.initgrid Grid=GridGRTemplate Width=446
21.01.2018 18:01:12:112 || UDrawTimelines.TTLNames.SetDefaultFonts;
21.01.2018 18:01:12:112 || UDrawTimelines.TTLNames.Draw Start
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneScaler.Draw Height=25
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
21.01.2018 18:01:12:112 || UDrawTimelines.TNamesTL.Init Result=152
21.01.2018 18:01:12:112 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
21.01.2018 18:01:12:112 || UDrawTimelines.TTLNames.Draw Finish
21.01.2018 18:01:12:112 || UInitForms.InitPanelAir
21.01.2018 18:01:12:112 || UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\ListProjects.prjt Grid=GridProjects
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 || UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\ListProjects.prjt Grid=GridProjects
21.01.2018 18:01:12:112 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
21.01.2018 18:01:12:112 || UCommon.loadoldproject Start
21.01.2018 18:01:12:112 || UCommon.initnewproject Start
21.01.2018 18:01:12:112 || UInitForms.InitPanelPrepare
21.01.2018 18:01:12:112 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
21.01.2018 18:01:12:112 || UGrid.initgrid Grid=GridGRTemplate Width=446
21.01.2018 18:01:12:112 || UDrawTimelines.TTLNames.SetDefaultFonts;
21.01.2018 18:01:12:112 || UDrawTimelines.TTLNames.Draw Start
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneScaler.Draw Height=25
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
21.01.2018 18:01:12:112 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
21.01.2018 18:01:12:112 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
21.01.2018 18:01:12:112 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
21.01.2018 18:01:12:112 || UDrawTimelines.TNamesTL.Init Result=113
21.01.2018 18:01:12:112 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
21.01.2018 18:01:12:112 || UDrawTimelines.TTimeLineName.Draw Position=0
21.01.2018 18:01:12:112 || UDrawTimelines.TTimeLineName.Draw Position=1
21.01.2018 18:01:12:112 || UDrawTimelines.TTimeLineName.Draw Position=2
21.01.2018 18:01:12:112 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
21.01.2018 18:01:12:112 || UDrawTimelines.TTLNames.Draw Finish
21.01.2018 18:01:12:112 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
21.01.2018 18:01:12:112 || UGrid.GridClear Row=1
21.01.2018 18:01:12:112 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
21.01.2018 18:01:12:112 || UGrid.GridClear Row=1
21.01.2018 18:01:12:112 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
21.01.2018 18:01:12:112 || UGrid.GridClear Row=1
21.01.2018 18:01:12:112 || UCommon.initnewproject Finish
21.01.2018 18:01:12:112 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
21.01.2018 18:01:12:112 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadProjectFromDisk Start
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories NewProject=2017522182734909
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Clips
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Lists
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathClips=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Clips
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Templates
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\PlayLists
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Temp
21.01.2018 18:01:12:112 |2017522182734909| UCommon.CreateDirectories PathLog=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\\Log
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909 Mask=*.*
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadProjectFromDisk Finish
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
21.01.2018 18:01:12:112 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Templates\201752614713643.jpeg Width=128 Height=80
21.01.2018 18:01:12:112 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Templates\201752614713643.jpeg
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Templates\20175261472191.jpeg Width=128 Height=80
21.01.2018 18:01:12:112 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Templates\20175261472191.jpeg
21.01.2018 18:01:12:112 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ Dshow\Projects\2017522182734909\Templates\201752614749387.jpeg Width=128 Height=80
