22.01.2018 12:27:28:128 || Form1.Create Start
22.01.2018 12:27:28:128 || 
22.01.2018 12:27:28:128 || *****************************************************************************************
22.01.2018 12:27:28:128 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
22.01.2018 12:27:28:128 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 12:27:28:02             *************************
22.01.2018 12:27:28:128 || *****************************************************************************************
22.01.2018 12:27:28:128 || UCommon.CreateDirectories NewProject=
22.01.2018 12:27:28:128 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC -1\Clips
22.01.2018 12:27:28:128 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC -1\Projects
22.01.2018 12:27:28:128 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
22.01.2018 12:27:28:128 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC -1\ARM_Director.ini
22.01.2018 12:27:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 12:27:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 12:27:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 12:27:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 12:27:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 12:27:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 12:27:28:128 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC -1\ARM_Director.ini
22.01.2018 12:27:28:128 || UMyFiles.ExecTaskOnDelete
22.01.2018 12:27:28:128 || UInitForms.InputInSystem
22.01.2018 12:27:28:128 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
22.01.2018 12:27:28:128 || UInitForms.InitMainForm
22.01.2018 12:27:28:128 || UInitForms.InitPanelControl
22.01.2018 12:27:28:128 || UCommon.SetMainGridPanel Start
22.01.2018 12:27:28:128 || UCommon.SetMainGridPanel MainGrid=projects
22.01.2018 12:27:28:128 || UCommon.CheckedClipsInList Start Grid=GridClips
22.01.2018 12:27:28:128 || UCommon.CheckedClipsInList Finish Grid=GridClips
22.01.2018 12:27:28:128 || UCommon.SetMainGridPanel Finish
22.01.2018 12:27:28:128 || UInitForms.InitPanelClips
22.01.2018 12:27:28:128 || UGrid.initgrid Grid=GridClips Width=1560
22.01.2018 12:27:28:128 || UInitForms.InitPanelPlayList
22.01.2018 12:27:28:128 || UGrid.initgrid Grid=GridActPlayList Width=1560
22.01.2018 12:27:28:128 || UInitForms.InitPanelProject
22.01.2018 12:27:28:128 || UGrid.initgrid Grid=GridProjects Width=1560
22.01.2018 12:27:28:128 || UGrid.initgrid Grid=GridLists Width=1560
22.01.2018 12:27:28:128 || UInitForms.InitPanelPrepare
22.01.2018 12:27:28:128 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
22.01.2018 12:27:28:128 || UGrid.initgrid Grid=GridGRTemplate Width=446
22.01.2018 12:27:28:128 || UDrawTimelines.TTLNames.SetDefaultFonts;
22.01.2018 12:27:28:128 || UDrawTimelines.TTLNames.Draw Start
22.01.2018 12:27:28:128 || UDrawTimelines.TZoneScaler.Draw Height=25
22.01.2018 12:27:28:128 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
22.01.2018 12:27:28:128 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
22.01.2018 12:27:28:128 || UDrawTimelines.TNamesTL.Init Result=152
22.01.2018 12:27:28:128 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
22.01.2018 12:27:28:128 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
