01.02.2018 17:56:56:256 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 17:56:56:256 || TFGRTemplate.SetSizeLayer1
01.02.2018 17:57:35:235 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 17:57:35:235 || TFGRTemplate.SetSizeLayer1
01.02.2018 17:59:54:254 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 17:59:54:254 || TFGRTemplate.SetSizeLayer1
01.02.2018 18:00:59:259 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 18:00:59:259 || TFGRTemplate.SetSizeLayer1
01.02.2018 18:07:26:226 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 18:07:26:226 || TFGRTemplate.SetSizeLayer1
01.02.2018 18:21:38:238 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 18:21:38:238 || TFGRTemplate.SetSizeLayer1
01.02.2018 18:46:45:245 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 18:46:45:245 || TFGRTemplate.SetSizeLayer1
01.02.2018 18:51:28:228 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 18:51:28:228 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:27:38:238 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:27:38:238 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:32:57:257 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:32:57:257 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:33:56:256 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:33:56:256 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:39:09:29 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:39:09:29 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:48:26:226 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:48:26:226 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:50:46:246 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:50:46:246 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:51:29:229 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:51:29:229 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:55:51:251 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:55:51:251 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:58:18:218 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:58:18:218 || TFGRTemplate.SetSizeLayer1
01.02.2018 20:59:29:229 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 20:59:29:229 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:08:45:245 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:08:45:245 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:09:27:227 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:09:27:227 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:10:01:21 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:10:01:21 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:13:54:254 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:13:54:254 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:15:18:218 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:15:18:218 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:16:41:241 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:16:41:241 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:17:35:235 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:17:35:235 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:18:24:224 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:18:24:224 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:26:52:252 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:26:52:252 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:27:16:216 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:27:16:216 || TFGRTemplate.SetSizeLayer1
01.02.2018 21:58:40:240 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 21:58:40:240 || TFGRTemplate.SetSizeLayer1
01.02.2018 22:00:15:215 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 22:00:15:215 || TFGRTemplate.SetSizeLayer1
01.02.2018 22:05:15:215 || UImageTemplate.SetSizeFrame Aspect=16x9
01.02.2018 22:05:15:215 || TFGRTemplate.SetSizeLayer1
