01.02.2018 17:56:45:245 || Form1.Create Start
01.02.2018 17:56:45:245 || 
01.02.2018 17:56:45:245 || *****************************************************************************************
01.02.2018 17:56:45:245 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
01.02.2018 17:56:45:245 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 17:56:45:23             *************************
01.02.2018 17:56:45:245 || *****************************************************************************************
01.02.2018 17:56:45:245 || UCommon.CreateDirectories
01.02.2018 17:56:45:245 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\Clips
01.02.2018 17:56:45:245 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\Projects
01.02.2018 17:56:45:245 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\Projects\Clips
01.02.2018 17:56:45:245 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\Projects\Templates
01.02.2018 17:56:45:245 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\Projects\PlayLists
01.02.2018 17:56:45:245 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\Projects\Temp
01.02.2018 17:56:45:245 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\Projects\Keylayouts
01.02.2018 17:56:45:245 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\\Log
01.02.2018 17:56:45:245 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC 01022018\ARM_Director.ini
01.02.2018 17:56:45:245 || UGrid.TGridRows.SetDefaultFonts
