01.02.2018 17:40:19:219 || Form1.Create Start
01.02.2018 17:40:19:219 || 
01.02.2018 17:40:19:219 || *****************************************************************************************
01.02.2018 17:40:19:219 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
01.02.2018 17:40:19:219 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 17:40:19:19             *************************
01.02.2018 17:40:19:219 || *****************************************************************************************
01.02.2018 17:40:19:219 || UCommon.CreateDirectories NewProject=
01.02.2018 17:40:19:219 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Clips
01.02.2018 17:40:19:219 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects
01.02.2018 17:40:19:219 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
01.02.2018 17:40:19:219 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\ARM_Director.ini
01.02.2018 17:40:19:219 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:19:219 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:19:219 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:19:219 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:19:219 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:19:219 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:19:219 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\ARM_Director.ini
01.02.2018 17:40:19:219 || UMyFiles.ExecTaskOnDelete
01.02.2018 17:40:19:219 || UInitForms.InputInSystem
01.02.2018 17:40:19:219 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
01.02.2018 17:40:19:219 || UInitForms.InitMainForm
01.02.2018 17:40:20:220 || UInitForms.InitPanelControl
01.02.2018 17:40:20:220 || UCommon.SetMainGridPanel Start
01.02.2018 17:40:20:220 || UCommon.SetMainGridPanel MainGrid=projects
01.02.2018 17:40:20:220 || UCommon.CheckedClipsInList Start Grid=GridClips
01.02.2018 17:40:20:220 || UCommon.CheckedClipsInList Finish Grid=GridClips
01.02.2018 17:40:20:220 || UCommon.SetMainGridPanel Finish
01.02.2018 17:40:20:220 || UInitForms.InitPanelClips
01.02.2018 17:40:20:220 || UGrid.initgrid Grid=GridClips Width=1578
01.02.2018 17:40:20:220 || UInitForms.InitPanelPlayList
01.02.2018 17:40:20:220 || UGrid.initgrid Grid=GridActPlayList Width=1578
01.02.2018 17:40:20:220 || UInitForms.InitPanelProject
01.02.2018 17:40:20:220 || UGrid.initgrid Grid=GridProjects Width=1578
01.02.2018 17:40:20:220 || UGrid.initgrid Grid=GridLists Width=1578
01.02.2018 17:40:20:220 || UInitForms.InitPanelPrepare
01.02.2018 17:40:20:220 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
01.02.2018 17:40:20:220 || UGrid.initgrid Grid=GridGRTemplate Width=446
01.02.2018 17:40:20:220 || UDrawTimelines.TTLNames.SetDefaultFonts;
01.02.2018 17:40:20:220 || UDrawTimelines.TTLNames.Draw Start
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneScaler.Draw Height=25
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
01.02.2018 17:40:20:220 || UDrawTimelines.TNamesTL.Init Result=152
01.02.2018 17:40:20:220 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
01.02.2018 17:40:20:220 || UDrawTimelines.TTLNames.Draw Finish
01.02.2018 17:40:20:220 || UInitForms.InitPanelAir
01.02.2018 17:40:20:220 || UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\ListProjects.prjt Grid=GridProjects
01.02.2018 17:40:20:220 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 || UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 || UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\ListProjects.prjt Grid=GridProjects
01.02.2018 17:40:20:220 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
01.02.2018 17:40:20:220 || UCommon.loadoldproject Start
01.02.2018 17:40:20:220 || UCommon.initnewproject Start
01.02.2018 17:40:20:220 || UInitForms.InitPanelPrepare
01.02.2018 17:40:20:220 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
01.02.2018 17:40:20:220 || UGrid.initgrid Grid=GridGRTemplate Width=446
01.02.2018 17:40:20:220 || UDrawTimelines.TTLNames.SetDefaultFonts;
01.02.2018 17:40:20:220 || UDrawTimelines.TTLNames.Draw Start
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneScaler.Draw Height=25
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
01.02.2018 17:40:20:220 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
01.02.2018 17:40:20:220 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
01.02.2018 17:40:20:220 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
01.02.2018 17:40:20:220 || UDrawTimelines.TNamesTL.Init Result=113
01.02.2018 17:40:20:220 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
01.02.2018 17:40:20:220 || UDrawTimelines.TTimeLineName.Draw Position=0
01.02.2018 17:40:20:220 || UDrawTimelines.TTimeLineName.Draw Position=1
01.02.2018 17:40:20:220 || UDrawTimelines.TTimeLineName.Draw Position=2
01.02.2018 17:40:20:220 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
01.02.2018 17:40:20:220 || UDrawTimelines.TTLNames.Draw Finish
01.02.2018 17:40:20:220 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
01.02.2018 17:40:20:220 || UGrid.GridClear Row=1
01.02.2018 17:40:20:220 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
01.02.2018 17:40:20:220 || UGrid.GridClear Row=1
01.02.2018 17:40:20:220 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
01.02.2018 17:40:20:220 || UGrid.GridClear Row=1
01.02.2018 17:40:20:220 || UCommon.initnewproject Finish
01.02.2018 17:40:20:220 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
01.02.2018 17:40:20:220 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadProjectFromDisk Start
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories NewProject=2017522182734909
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Clips
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathClips=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Clips
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CreateDirectories PathLog=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\\Log
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909 Mask=*.*
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadProjectFromDisk Finish
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614713643.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614713643.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261472191.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261472191.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614749387.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614749387.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261480899.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261480899.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113418392.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113418392.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113457723.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113457723.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113526744.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113526744.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321422664.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321422664.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321440111.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321440111.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201764155155639.jpeg Width=128 Height=80
01.02.2018 17:40:20:220 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201764155155639.jpeg
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com).mp3Õ‡È‰ÂÌ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\ÚË ÏËÌÛÚ˚ (1).movÕ‡È‰ÂÌ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridClips
01.02.2018 17:40:20:220 |2017522182734909| UGrid.findgridselection Grid=GridLists Cell=2 Result=3
01.02.2018 17:40:20:220 |2017522182734909| Uplaylists.PlaylistToPanel ARow=3
01.02.2018 17:40:20:220 |2017522182734909| Uplaylists.PlaylistToPanel Name=¬ÒÂ ÌÓÏÂ‡  ClipID=PL2017525105553721.plst
01.02.2018 17:40:20:220 |2017522182734909| Uplaylists.PlaylistToPanel Name=ŒÒÌÓ‚ÌÓÈ  ClipID=PL2017529211631348.plst
01.02.2018 17:40:20:220 |2017522182734909| Uplaylists.PlaylistToPanel Name=ƒÓÔÓÎÌËÚÂÎ¸Ì˚È  ClipID=PL2017529212615561.plst
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
01.02.2018 17:40:20:220 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridActPlayList
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Grid=GridActPlayList File=C:\‡Ï\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com).mp3Õ‡È‰ÂÌ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridActPlayList File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:20:220 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridActPlayList
01.02.2018 17:40:20:220 |2017522182734909| UCommon.loadoldproject Finish
01.02.2018 17:40:20:220 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
01.02.2018 17:40:20:220 |2017522182734909| UInitForms.UpdatePanelAir
01.02.2018 17:40:20:220 |2017522182734909| Form1.Create Finish
01.02.2018 17:40:21:221 |2017522182734909| Message:WMEraseBackGround
01.02.2018 17:40:21:221 |2017522182734909| UInitForms.InitNewProject
01.02.2018 17:40:21:221 |2017522182734909| UInitForms.InitPlaylists
01.02.2018 17:40:21:221 |2017522182734909| UInitForms.InitEditTimeline
01.02.2018 17:40:22:222 |2017522182734909| UInitForms.InitFrButtonOptions
01.02.2018 17:40:22:222 |2017522182734909| UGrid.initgrid Grid=StringGrid1 Width=512
01.02.2018 17:40:22:222 |2017522182734909| UInitForms.InitImportFiles
01.02.2018 17:40:22:222 |2017522182734909| UInitForms.InitTextTemplates
01.02.2018 17:40:22:222 |2017522182734909| UInitForms.InitMyMessage
01.02.2018 17:40:22:222 |2017522182734909| UInitForms.InitImageTemplate
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFrSetTemplate
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFrSetEventData
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFrSortGrid
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFrShiftTL
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFrShortNum
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFrMediaCopy
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFPageSetup
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitfrMyPrint
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitFrLTC
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitfrTimeCode
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitfrMyTextTemplate
01.02.2018 17:40:23:223 |2017522182734909| UInitForms.InitfrNewList
01.02.2018 17:40:23:223 |2017522182734909| Message:WMEraseBackGround
01.02.2018 17:40:24:224 |2017522182734909| TForm1.SpeedButton1Click Input=Yes User=Demo
01.02.2018 17:40:26:226 |2017522182734909| TForm1.sbClipsClick
01.02.2018 17:40:26:226 |2017522182734909| UCommon.SetMainGridPanel Start
01.02.2018 17:40:26:226 |2017522182734909| Message:WMEraseBackGround
01.02.2018 17:40:26:226 |2017522182734909| UCommon.SetMainGridPanel MainGrid=clips
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com).mp3Õ‡È‰ÂÌ
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\ÚË ÏËÌÛÚ˚ (1).movÕ‡È‰ÂÌ
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:40:26:226 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
