22.01.2018 10:53:50:150 || Form1.Create Start
22.01.2018 10:53:50:150 || 
22.01.2018 10:53:50:150 || *****************************************************************************************
22.01.2018 10:53:50:150 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
22.01.2018 10:53:50:150 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 10:53:50:23             *************************
22.01.2018 10:53:50:150 || *****************************************************************************************
22.01.2018 10:53:50:150 || UCommon.CreateDirectories NewProject=
22.01.2018 10:53:50:150 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Clips
22.01.2018 10:53:50:150 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects
22.01.2018 10:53:50:150 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
22.01.2018 10:53:50:150 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\ARM_Director.ini
22.01.2018 10:53:50:150 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:50:150 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:50:150 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:50:150 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:50:150 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:50:150 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:50:150 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\ARM_Director.ini
22.01.2018 10:53:50:150 || UMyFiles.ExecTaskOnDelete
22.01.2018 10:53:50:150 || UInitForms.InputInSystem
22.01.2018 10:53:50:150 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
22.01.2018 10:53:50:150 || UInitForms.InitMainForm
22.01.2018 10:53:50:150 || UInitForms.InitPanelControl
22.01.2018 10:53:50:150 || UCommon.SetMainGridPanel Start
22.01.2018 10:53:50:150 || UCommon.SetMainGridPanel MainGrid=projects
22.01.2018 10:53:50:150 || UCommon.CheckedClipsInList Start Grid=GridClips
22.01.2018 10:53:50:150 || UCommon.CheckedClipsInList Finish Grid=GridClips
22.01.2018 10:53:51:151 || UCommon.SetMainGridPanel Finish
22.01.2018 10:53:51:151 || UInitForms.InitPanelClips
22.01.2018 10:53:51:151 || UGrid.initgrid Grid=GridClips Width=1578
22.01.2018 10:53:51:151 || UInitForms.InitPanelPlayList
22.01.2018 10:53:51:151 || UGrid.initgrid Grid=GridActPlayList Width=1578
22.01.2018 10:53:51:151 || UInitForms.InitPanelProject
22.01.2018 10:53:51:151 || UGrid.initgrid Grid=GridProjects Width=1578
22.01.2018 10:53:51:151 || UGrid.initgrid Grid=GridLists Width=1578
22.01.2018 10:53:51:151 || UInitForms.InitPanelPrepare
22.01.2018 10:53:51:151 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
22.01.2018 10:53:51:151 || UGrid.initgrid Grid=GridGRTemplate Width=446
22.01.2018 10:53:51:151 || UDrawTimelines.TTLNames.SetDefaultFonts;
22.01.2018 10:53:51:151 || UDrawTimelines.TTLNames.Draw Start
22.01.2018 10:53:51:151 || UDrawTimelines.TZoneScaler.Draw Height=25
22.01.2018 10:53:51:151 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
22.01.2018 10:53:51:151 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
22.01.2018 10:53:51:151 || UDrawTimelines.TNamesTL.Init Result=152
22.01.2018 10:53:51:151 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
22.01.2018 10:53:51:151 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
22.01.2018 10:53:51:151 || UDrawTimelines.TTLNames.Draw Finish
