09.01.2018 20:48:14:114 || Form1.Create Start
09.01.2018 20:48:14:114 || 
09.01.2018 20:48:14:114 || *****************************************************************************************
09.01.2018 20:48:14:114 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
09.01.2018 20:48:14:114 || *************************            Время старта: 20:48:14:09             *************************
09.01.2018 20:48:14:114 || *****************************************************************************************
09.01.2018 20:48:14:114 || UCommon.CreateDirectories NewProject=
09.01.2018 20:48:14:114 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ_1\Clips
09.01.2018 20:48:14:114 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ_1\Projects
09.01.2018 20:48:14:114 || UCommon.CreateDirectories Проект не задан
09.01.2018 20:48:14:114 || Начало чтения IniFile: G:\home\ARM_editor\АРМ_1\ARM_Director.ini
09.01.2018 20:48:14:114 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:48:14:114 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:48:14:114 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:48:14:114 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:48:14:114 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:48:14:114 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:48:14:114 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ_1\ARM_Director.ini
09.01.2018 20:48:14:114 || UMyFiles.ExecTaskOnDelete
09.01.2018 20:48:14:114 || UInitForms.InputInSystem
09.01.2018 20:48:14:114 || UInitForms.InputInSystem - Вход в систему выполнен
09.01.2018 20:48:14:114 || UInitForms.InitMainForm
09.01.2018 20:48:14:114 || UInitForms.InitPanelControl
09.01.2018 20:48:14:114 || UCommon.SetMainGridPanel Start
09.01.2018 20:48:14:114 || UCommon.SetMainGridPanel MainGrid=projects
09.01.2018 20:48:14:114 || UCommon.CheckedClipsInList Start Grid=GridClips
09.01.2018 20:48:14:114 || UCommon.CheckedClipsInList Finish Grid=GridClips
09.01.2018 20:48:14:114 || UCommon.SetMainGridPanel Finish
09.01.2018 20:48:14:114 || UInitForms.InitPanelClips
09.01.2018 20:48:14:114 || UGrid.initgrid Grid=GridClips Width=1560
09.01.2018 20:48:14:114 || UInitForms.InitPanelPlayList
09.01.2018 20:48:14:114 || UGrid.initgrid Grid=GridActPlayList Width=1560
09.01.2018 20:48:14:114 || UInitForms.InitPanelProject
09.01.2018 20:48:14:114 || UGrid.initgrid Grid=GridProjects Width=1560
09.01.2018 20:48:14:114 || UGrid.initgrid Grid=GridLists Width=1560
09.01.2018 20:48:14:114 || UInitForms.InitPanelPrepare
09.01.2018 20:48:14:114 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
09.01.2018 20:48:14:114 || UGrid.initgrid Grid=GridGRTemplate Width=446
09.01.2018 20:48:14:114 || UDrawTimelines.TTLNames.SetDefaultFonts;
09.01.2018 20:48:14:114 || UDrawTimelines.TTLNames.Draw Start
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneScaler.Draw Height=25
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
09.01.2018 20:48:14:114 || UDrawTimelines.TNamesTL.Init Result=152
09.01.2018 20:48:14:114 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
09.01.2018 20:48:14:114 || UDrawTimelines.TTLNames.Draw Finish
09.01.2018 20:48:14:114 || UInitForms.InitPanelAir
09.01.2018 20:48:14:114 || UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\АРМ_1\Projects\ListProjects.prjt Grid=GridProjects
09.01.2018 20:48:14:114 || UCommon.loadoldproject Start
09.01.2018 20:48:14:114 || UCommon.initnewproject Start
09.01.2018 20:48:14:114 || UInitForms.InitPanelPrepare
09.01.2018 20:48:14:114 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
09.01.2018 20:48:14:114 || UGrid.initgrid Grid=GridGRTemplate Width=446
09.01.2018 20:48:14:114 || UDrawTimelines.TTLNames.SetDefaultFonts;
09.01.2018 20:48:14:114 || UDrawTimelines.TTLNames.Draw Start
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneScaler.Draw Height=25
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
09.01.2018 20:48:14:114 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
09.01.2018 20:48:14:114 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
09.01.2018 20:48:14:114 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
09.01.2018 20:48:14:114 || UDrawTimelines.TNamesTL.Init Result=113
09.01.2018 20:48:14:114 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
09.01.2018 20:48:14:114 || UDrawTimelines.TTimeLineName.Draw Position=0
09.01.2018 20:48:14:114 || UDrawTimelines.TTimeLineName.Draw Position=1
09.01.2018 20:48:14:114 || UDrawTimelines.TTimeLineName.Draw Position=2
09.01.2018 20:48:14:114 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
09.01.2018 20:48:14:114 || UDrawTimelines.TTLNames.Draw Finish
09.01.2018 20:48:14:114 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
09.01.2018 20:48:14:114 || UGrid.GridClear Row=1
09.01.2018 20:48:14:114 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
09.01.2018 20:48:14:114 || UGrid.GridClear Row=1
09.01.2018 20:48:14:114 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
09.01.2018 20:48:14:114 || UGrid.GridClear Row=1
09.01.2018 20:48:14:114 || UCommon.initnewproject Finish
09.01.2018 20:48:14:114 || UCommon.loadoldproject Finish
09.01.2018 20:48:14:114 || UCommon.UpdateProjectPathes NewProject=
09.01.2018 20:48:14:114 || UInitForms.UpdatePanelAir
09.01.2018 20:48:14:114 || Form1.Create Finish
09.01.2018 20:48:14:114 || Message:WMEraseBackGround
09.01.2018 20:48:14:114 || UInitForms.InitNewProject
09.01.2018 20:48:14:114 || UInitForms.InitPlaylists
09.01.2018 20:48:14:114 || UInitForms.InitEditTimeline
09.01.2018 20:48:21:121 || UInitForms.InitFrButtonOptions
09.01.2018 20:48:21:121 || UGrid.initgrid Grid=StringGrid1 Width=512
09.01.2018 20:48:21:121 || UInitForms.InitImportFiles
09.01.2018 20:48:21:121 || UInitForms.InitTextTemplates
09.01.2018 20:48:21:121 || UInitForms.InitMyMessage
09.01.2018 20:48:21:121 || UInitForms.InitImageTemplate
09.01.2018 20:48:21:121 || UInitForms.InitFrSetTemplate
09.01.2018 20:48:21:121 || UInitForms.InitFrSetEventData
09.01.2018 20:48:21:121 || UInitForms.InitFrSortGrid
09.01.2018 20:48:21:121 || UInitForms.InitFrShiftTL
09.01.2018 20:48:21:121 || UInitForms.InitFrShortNum
09.01.2018 20:48:21:121 || UInitForms.InitFrMediaCopy
09.01.2018 20:48:21:121 || UInitForms.InitFPageSetup
09.01.2018 20:48:21:121 || UInitForms.InitfrMyPrint
09.01.2018 20:48:21:121 || UInitForms.InitFrLTC
09.01.2018 20:48:21:121 || UInitForms.InitfrTimeCode
09.01.2018 20:48:21:121 || UInitForms.InitfrMyTextTemplate
09.01.2018 20:48:21:121 || UInitForms.InitfrNewList
09.01.2018 20:48:21:121 || Message:WMEraseBackGround
09.01.2018 20:48:22:122 || TForm1.SpeedButton1Click Input=Yes User=Demo
09.01.2018 20:48:24:124 || TForm1.GridProjectsMouseUp
09.01.2018 20:48:24:124 || TForm1.MyTextMessage UMyMessage=Для начала работы необходимо выбрать/создать проект. Buttons=1
09.01.2018 20:48:27:127 || TFMyMessage.spbYesClick Modalresult:=mrOk
09.01.2018 20:48:28:128 || TForm1.sbProjectClick
09.01.2018 20:48:28:128 || UCommon.SetMainGridPanel Start
09.01.2018 20:48:28:128 || UCommon.SetMainGridPanel MainGrid=projects
09.01.2018 20:48:28:128 || UCommon.CheckedClipsInList Start Grid=GridClips
09.01.2018 20:48:28:128 || UCommon.CheckedClipsInList-2 Grid=GridClips File=Не существует
09.01.2018 20:48:28:128 || UCommon.CheckedClipsInList Finish Grid=GridClips
09.01.2018 20:48:28:128 || UCommon.SetMainGridPanel Finish
09.01.2018 20:48:30:130 || TForm1.sbProjectClick
09.01.2018 20:48:30:130 || UCommon.SetMainGridPanel Start
09.01.2018 20:48:30:130 || UCommon.SetMainGridPanel MainGrid=projects
09.01.2018 20:48:30:130 || UCommon.CheckedClipsInList Start Grid=GridClips
09.01.2018 20:48:30:130 || UCommon.CheckedClipsInList-2 Grid=GridClips File=Не существует
09.01.2018 20:48:30:130 || UCommon.CheckedClipsInList Finish Grid=GridClips
09.01.2018 20:48:30:130 || UCommon.SetMainGridPanel Finish
09.01.2018 20:48:32:132 || TForm1.sbClipsClick
09.01.2018 20:48:32:132 || UCommon.SetMainGridPanel Start
09.01.2018 20:48:32:132 || TForm1.MyTextMessage UMyMessage=Для начала работы необходимо выбрать/создать проект. Buttons=1
09.01.2018 20:48:34:134 || TFMyMessage.spbYesClick Modalresult:=mrOk
09.01.2018 20:48:35:135 || TForm1.sbPlayListClick Start
09.01.2018 20:48:35:135 || TForm1.ListBox1Click
09.01.2018 20:48:35:135 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
09.01.2018 20:48:35:135 || UGrid.GridClear Row=1
09.01.2018 20:48:35:135 || TForm1.ListBox1Click ListBox1.ItemIndex<0
09.01.2018 20:48:35:135 || UCommon.SetMainGridPanel Start
09.01.2018 20:48:35:135 || TForm1.MyTextMessage UMyMessage=Для начала работы необходимо выбрать/создать проект. Buttons=1
09.01.2018 20:48:40:140 || TFMyMessage.spbYesClick Modalresult:=mrOk
09.01.2018 20:48:40:140 || UActPlayList.GridActvePLToPanel ARow=1
09.01.2018 20:48:41:141 || Message:WMSysCommand
09.01.2018 20:48:41:141 || UMyFiles.SaveGridToFile Start FileName=G:\home\ARM_editor\АРМ_1\Projects\ListProjects.prjt Grid=GridProjects
09.01.2018 20:48:41:141 || UMyFiles.SaveGridToFile Finish FileName=G:\home\ARM_editor\АРМ_1\Projects\ListProjects.prjt Grid=GridProjects
09.01.2018 20:48:41:141 || UCommon.saveoldproject Start
09.01.2018 20:48:41:141 || UMyFiles.SaveProjectToDisk Start
09.01.2018 20:48:41:141 || UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\АРМ_1\Projects\\Temp Mask=*.*
09.01.2018 20:48:41:141 || UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\АРМ_1\Projects\\Temp Mask=*.undo
09.01.2018 20:48:41:141 || Начало записи IniFile: G:\home\ARM_editor\АРМ_1\ARM_Director.ini
09.01.2018 20:48:41:141 || Окончание записи IniFile: G:\home\ARM_editor\АРМ_1\ARM_Director.ini
09.01.2018 20:48:41:141 || TForm1.FormClose
09.01.2018 20:49:48:148 || Form1.Create Start
09.01.2018 20:49:48:148 || 
09.01.2018 20:49:48:148 || *****************************************************************************************
09.01.2018 20:49:48:148 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
09.01.2018 20:49:48:148 || *************************            Время старта: 20:49:48:09             *************************
09.01.2018 20:49:48:148 || *****************************************************************************************
09.01.2018 20:49:48:148 || UCommon.CreateDirectories NewProject=
09.01.2018 20:49:48:148 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ_1\Clips
09.01.2018 20:49:48:148 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ_1\Projects
09.01.2018 20:49:48:148 || UCommon.CreateDirectories Проект не задан
09.01.2018 20:49:48:148 || Начало чтения IniFile: G:\home\ARM_editor\АРМ_1\ARM_Director.ini
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ_1\ARM_Director.ini
09.01.2018 20:49:48:148 || UMyFiles.ExecTaskOnDelete
09.01.2018 20:49:48:148 || UInitForms.InputInSystem
09.01.2018 20:49:48:148 || UInitForms.InputInSystem - Вход в систему выполнен
09.01.2018 20:49:48:148 || UInitForms.InitMainForm
09.01.2018 20:49:48:148 || UInitForms.InitPanelControl
09.01.2018 20:49:48:148 || UCommon.SetMainGridPanel Start
09.01.2018 20:49:48:148 || UCommon.SetMainGridPanel MainGrid=projects
09.01.2018 20:49:48:148 || UCommon.CheckedClipsInList Start Grid=GridClips
